OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,OFF_Year,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
674,Offense--lac-2018,26.8,428,51,338,100,213,25,70-177,39.55,7-8,87.50,348-512,4089,8.4,255.6,32,12,34-227,399,1873,4.7,117.1,16,945,6189,386.8,"61-1,322",21.7,34-358,9.2,13-247,19.0,38.5,"61-2,643",24-29,31,113-967,60,30:42,14-7,1,16,2018,675,15.7,329,38,311,101,178,32,79-202,39.11,11-20,55.00,351-548,3646,7.1,227.9,23,13,38-240,395,1693,4.3,105.8,11,981,5579,348.7,28-653,23.3,28-257,10.5,12-87,7.3,42.3,"67-3,195",23-30,54,103-828,51.75,29:17,17-6,-1,16
676,Offense--lac-2019,21.1,337,37,349,90,220,39,86-194,44.33,10-18,55.56,394-597,4426,7.8,276.6,24,20,34-222,366,1453,4.0,90.8,12,997,6101,381.3,36-883,24.5,22-118,7.6,11-74,6.7,41.8,"48-2,256",26-34,48,103-872,54,30:46,21-11,-17,16,2019,677,21.6,345,40,285,101,156,28,88-195,45.13,8-13,61.54,328-464,3204,7.3,200.3,21,11,30-190,429,1805,4.2,112.8,15,923,5199,324.9,35-726,20.7,33-252,5.4,20-274,13.7,42.4,"60-2,663",23-33,55,108-959,59.938,29:31,13-3,17,16
678,Offense--lac-2020,21.6,345,40,373,111,226,36,99-224,44.20,12-25,48.00,413-627,4329,7.3,270.6,31,10,34-219,466,1784,3.8,111.5,12,1127,6332,395.8,34-913,26.9,18-100,15.2,12-217,18.1,35.1,"57-2,669",24-33,58,85-710,44,31:57,16-6,3,16,2020,679,24.8,397,45,324,112,186,26,89-204,43.63,10-15,66.67,340-543,3578,6.8,223.6,29,12,27-137,427,1917,4.5,119.8,17,997,5632,352.0,42-924,22.0,37-564,5.6,10-146,14.6,45.8,"61-2,893",28-32,52,94-869,54.313,29:25,13-6,-3,16
680,Offense--lac-2021,27.9,474,58,401,112,256,33,100-221,45.25,22-34,64.71,443-674,4800,7.4,282.4,38,15,31-214,423,1834,4.3,107.9,18,1128,6848,402.8,39-976,25.0,18-107,11.0,11-70,6.4,37.4,"47-2,123",24-27,62,"116-1,033",60,29:30,10-7,-1,17,2021,681,27.0,459,52,383,144,199,40,107-216,49.54,7-22,31.82,357-559,3761,7.1,221.2,27,11,35-231,509,2361,4.6,138.9,22,1103,6353,373.7,36-748,20.8,30-329,5.9,15-167,11.1,43.4,"46-2,104",32-35,56,99-835,49.118,31:09,23-10,289,17
682,Offense--lac-2022,23.0,391,42,352,93,232,27,112-257,43.58,15-29,51.72,485-711,4584,6.7,269.6,26,10,39-207,404,1524,3.8,89.6,15,1154,6315,371.5,27-512,19.0,29-339,3.1,14-166,11.9,42.8,"73-3,186",31-33,80,81-635,37,30:42,19-9,5,17,2022,683,22.6,384,42,318,119,175,24,78-199,39.20,6-15,40.00,310-505,3406,7.3,200.4,24,14,40-287,457,2478,5.4,145.8,17,1002,6171,363.0,15-317,21.1,19-58,11.7,10-140,14.0,43.7,"66-3,223",28-35,67,80-762,44.824,29:43,22-10,275,17
684,Offense--lar-2004,19.9,319,37,321,96,203,22,89-211,42.18,13-19,68.42,372-580,4253,8.0,265.8,23,22,50-362,381,1624,4.3,101.5,11,1011,6239,389.9,"66-1,680",25.5,30-143,11.9,6-45,7.5,35.8,"68-2,848",19-24,4,127-993,62,31:47,27-14,0,16,2004,685,19.6,392,43,311,118,172,21,76-209,36.36,12-17,70.59,292-492,3174,6.9,198.4,24,6,34-241,480,2179,4.5,136.2,13,1006,5594,349.6,"84-1,604",19.1,35-416,4.8,22-191,8.7,40.4,"71-3,014",31-36,5,109-827,51.688,29:34,16-7,0,16
686,Offense--lar-2005,22.6,361,40,314,82,209,23,77-211,36.49,14-21,66.67,392-599,4036,7.3,252.3,23,24,46-315,380,1535,4.0,95.9,13,1025,5886,367.9,"70-1,781",25.4,30-175,10.5,13-364,28.0,35.6,"73-3,008",27-31,8,131-941,58,30:25,24-12,0,16,2005,687,20.4,429,50,321,116,178,27,80-199,40.20,2-9,22.22,314-507,3424,7.1,214.0,26,13,41-195,459,2178,4.7,136.1,22,1007,5797,362.3,"74-1,580",21.4,39-410,5.8,24-268,11.2,38.0,"67-2,722",26-33,14,"117-1,066",66.625,29:57,24-11,0,16
688,Offense--lar-2006,24.5,367,39,332,94,212,26,83-222,37.39,12-18,66.67,371-592,3962,7.3,247.6,24,8,49-366,424,1805,4.3,112.8,13,1065,6133,383.3,"69-1,701",24.7,30-234,9.1,17-164,9.6,39.7,"75-3,223",32-37,13,116-960,60,31:20,19-8,0,16,2006,689,18.3,366,45,313,121,164,28,93-205,45.37,2-6,33.33,266-451,3035,7.2,189.7,21,17,34-214,477,2327,4.9,145.4,21,962,5576,348.5,"65-1,383",21.3,27-247,7.8,8-118,14.8,41.7,"67-3,026",19-24,15,92-835,52.188,29:04,24-13,0,16
690,Offense--lar-2007,16.4,263,27,281,65,193,23,81-223,36.32,7-20,35.00,333-574,3233,6.2,202.1,19,28,48-328,404,1527,3.8,95.4,5,1026,5088,318.0,"58-1,578",27.2,30-357,9.1,18-200,11.1,41.6,"78-3,684",24-32,8,94-794,49,30:08,25-8,0,16,2007,691,20.9,438,48,316,105,190,21,78-201,38.81,6-10,60.00,318-523,3613,7.4,225.8,25,18,31-234,445,1844,4.1,115.3,16,999,5691,355.7,"82-1,938",23.6,48-437,11.9,28-427,15.3,42.3,"66-3,147",34-39,12,95-732,45.75,29:52,21-7,0,16
692,Offense--lar-2008,14.5,232,20,249,95,140,14,69-216,31.94,11-23,47.83,292-520,2947,6.3,184.2,11,19,45-321,417,1649,4.0,103.1,8,982,4917,307.3,"56-1,469",26.2,29-245,10.4,12-162,13.5,42.5,"83-4,120",31-36,12,97-718,44,29:32,18-12,0,16,2008,693,22.1,465,53,320,146,158,16,74-187,39.57,4-6,66.67,278-444,3475,8.3,217.2,20,12,30-201,501,2475,4.9,154.7,26,975,6151,384.4,"80-1,761",22.0,57-590,8.4,19-452,23.8,41.6,"67-3,029",31-32,16,89-654,40.875,30:27,22-11,0,16
694,Offense--lar-2009,10.9,175,17,259,79,159,21,73-226,32.30,10-28,35.71,312-543,2686,5.5,167.9,12,21,44-284,411,1784,4.3,111.5,4,998,4754,297.1,"43-1,032",24.0,37-395,6.3,8-102,12.8,43.9,"90-4,212",19-24,15,100-834,52,29:10,24-9,0,16,2009,695,20.8,436,54,333,127,182,24,91-209,43.54,6-12,50.00,315-491,3764,8.0,235.3,22,8,25-149,500,2201,4.4,137.6,24,1016,6114,382.1,"76-1,764",23.2,41-260,10.7,21-321,15.3,39.1,"75-3,326",19-22,11,80-613,38.313,31:15,23-11,0,16
696,Offense--lar-2010,18.1,289,27,292,84,179,29,78-235,33.19,8-15,53.33,354-590,3268,6.0,204.3,18,15,34-244,429,1578,3.7,98.6,9,1053,5090,318.1,"65-1,538",23.7,40-452,9.7,14-161,11.5,40.9,"94-4,276",33-39,7,102-877,54,31:01,12-4,0,16,2010,697,16.4,328,32,304,88,191,25,74-221,33.48,6-12,50.00,328-570,3578,6.8,223.6,21,14,43-290,404,1810,4.5,113.1,7,1017,5678,354.9,"74-1,614",21.8,45-435,11.3,15-287,19.1,39.7,"81-3,671",35-38,10,"126-1,008",63,29:18,28-9,0,16
698,Offense--lar-2011,11.9,191,18,267,79,159,29,64-228,28.07,8-23,34.78,292-549,2870,5.9,179.4,9,10,55-388,409,1667,4.1,104.2,7,1013,4925,307.8,36-902,25.1,27-297,12.3,12-169,14.1,39.0,"105-4,652",21-28,28,112-899,56,28:10,26-12,0,16,2011,699,20.4,407,45,313,122,166,25,83-216,38.43,5-8,62.50,293-484,3301,7.4,206.3,21,12,39-261,510,2433,4.8,152.1,17,1033,5995,374.7,"55-1,280",23.3,45-552,11.0,10-40,4.0,41.7,"80-3,636",31-37,37,111-951,59.438,31:56,22-5,0,16
700,Offense--lar-2012,18.6,297,32,287,79,189,19,67-209,32.06,13-24,54.17,332-557,3550,6.8,221.9,22,14,35-233,410,1714,4.2,107.1,5,1002,5497,343.6,30-730,24.3,37-245,9.8,17-382,22.5,40.9,"82-3,756",23-31,54,130-978,61,29:46,20-5,0,16,2012,701,16.6,348,37,327,107,197,23,80-213,37.56,6-16,37.50,362-547,3602,7.2,225.1,16,17,52-325,442,1880,4.3,117.5,18,1041,5807,362.9,38-799,21.0,41-402,6.6,14-182,13.0,40.9,"72-3,231",30-37,51,90-758,47.375,32:03,15-3,0,16
702,Offense--lar-2013,21.8,348,38,282,82,165,35,73-212,34.43,6-18,33.33,301-506,3125,6.6,195.3,22,11,36-235,426,1752,4.1,109.5,10,968,5112,319.5,25-544,21.8,43-378,2.6,14-256,18.3,45.3,"78-3,609",26-28,64,"123-1,009",63,29:05,20-10,0,16,2013,703,17.3,364,44,337,87,203,47,78-201,38.81,9-16,56.25,355-521,3874,8.1,242.1,21,14,53-326,440,1646,3.7,102.9,18,1014,5846,365.4,37-835,22.6,30-79,8.8,11-230,20.9,43.5,"74-3,597",18-26,50,105-978,61.125,30:54,27-13,0,16
704,Offense--lar-2014,20.3,324,36,288,79,189,20,68-192,35.42,4-10,40.00,327-515,3400,7.2,212.5,20,16,47-295,395,1635,4.1,102.2,11,957,5330,333.1,35-849,24.3,37-482,6.9,13-276,21.2,43.6,"80-3,721",24-30,51,"123-1,139",71,29:12,23-11,-2,16,2014,705,16.9,354,40,301,83,189,29,82-213,38.50,0-10,0.00,368-540,3861,7.6,241.3,18,13,40-265,425,1765,4.2,110.3,12,1005,5891,368.2,"45-1,099",24.4,28-192,13.0,16-245,15.3,36.7,"75-3,268",25-29,44,105-882,55.125,30:47,24-11,2,16
706,Offense--lar-2015,17.5,280,31,241,92,126,23,52-201,25.87,4-13,30.77,273-473,2805,6.2,175.3,11,11,18-126,429,1956,4.6,122.3,16,920,4887,305.4,27-605,22.4,39-300,7.2,13-182,14.0,44.9,"96-4,601",21-31,60,"122-1,007",62,28:14,22-10,5,16,2015,707,15.7,330,32,320,98,192,30,78-225,34.67,4-15,26.67,399-597,4065,7.2,254.1,21,13,41-236,453,1820,4.0,113.8,7,1091,6121,382.6,34-830,24.4,40-289,7.7,11-131,11.9,41.2,"83-3,721",35-37,53,109-992,62,33:12,26-11,-5,16
708,Offense--lar-2016,14.0,224,24,245,68,151,26,67-213,31.46,8-20,40.00,312-536,2951,6.2,184.4,14,20,49-362,375,1252,3.3,78.3,9,960,4565,285.3,22-430,19.5,49-369,4.3,10-71,7.1,46.2,"98-4,680",19-22,61,"126-1,091",68,29:20,24-9,-11,16,2016,709,19.7,394,50,325,91,194,40,82-220,37.27,12-14,85.71,378-582,3732,6.7,233.3,32,10,31-196,424,1660,3.9,103.8,12,1037,5588,349.3,"47-1,122",23.9,35-152,7.5,20-349,17.5,41.1,"95-4,311",16-18,41,108-920,57.5,30:39,16-8,11,16
710,Offense--lar-2017,29.8,476,51,311,97,185,29,88-214,41.12,5-12,41.67,320-518,3831,7.8,239.4,28,7,28-192,454,1953,4.3,122.1,17,1000,5976,373.5,23-520,22.6,45-458,6.1,18-401,22.3,45.6,"65-3,113",40-43,76,107-922,57,30:06,28-14,7,16,2017,711,15.7,329,38,300,86,181,33,86-227,37.89,9-15,60.00,324-555,3475,6.8,217.2,21,18,48-324,417,1959,4.7,122.4,15,1020,5758,359.9,"40-1,001",25.0,25-152,10.2,7-80,11.4,38.8,"77-3,561",23-34,44,102-808,50.5,29:53,21-9,-7,16
712,Offense--lar-2018,32.9,527,60,401,134,236,31,86-191,45.03,6-15,40.00,368-568,4507,8.3,281.7,32,12,33-223,459,2231,4.9,139.4,23,1060,6961,435.1,29-652,22.5,30-307,8.7,18-290,16.1,43.9,"43-1,992",34-41,72,96-878,54,30:41,16-7,11,16,2018,713,18.3,384,44,322,101,185,36,70-188,37.23,9-15,60.00,347-533,3780,7.7,236.3,31,18,41-326,386,1957,5.1,122.3,12,960,6063,378.9,39-834,21.4,12-104,10.2,12-73,6.1,39.5,"64-2,912",25-28,49,99-852,53.25,29:18,14-11,-11,16
714,Offense--lar-2019,24.6,394,46,342,92,222,28,83-208,39.90,3-13,23.08,397-632,4499,7.4,281.2,22,17,22-170,401,1499,3.7,93.7,20,1055,6168,385.5,17-467,27.5,27-170,8.3,13-137,10.5,43.9,"66-3,128",24-33,76,118-899,56,29:00,17-7,0,16,2019,715,22.8,364,42,324,100,194,30,86-218,39.45,14-24,58.33,348-562,3625,7.0,226.6,23,13,50-303,444,1809,4.1,113.1,15,1056,5737,358.6,18-404,22.4,23-190,6.3,17-227,13.4,41.8,"73-3,222",24-30,73,105-829,51.813,30:59,21-9,0,16
716,Offense--lar-2020,23.1,370,43,352,123,206,23,98-226,43.36,8-17,47.06,392-590,4014,7.1,250.9,20,14,25-169,473,2018,4.3,126.1,19,1088,6201,387.6,26-737,28.3,34-235,12.9,14-266,19.0,40.6,"68-3,099",24-30,67,71-655,40,32:01,17-11,-3,16,2020,717,18.5,296,33,280,91,170,19,74-209,35.41,9-21,42.86,347-548,3051,6.2,190.7,17,14,53-350,388,1460,3.8,91.3,12,989,4861,303.8,25-516,20.6,23-297,6.9,14-125,8.9,45.6,"84-4,065",22-26,59,78-582,36.375,27:58,16-8,3,16
718,Offense--lar-2021,27.1,460,52,355,99,233,23,90-205,43.90,10-19,52.63,406-607,4642,8.1,273.1,41,18,31-251,420,1683,4.0,99.0,10,1058,6576,386.8,34-686,20.2,19-215,6.7,19-192,10.1,43.0,"51-2,252",32-34,64,76-637,37,29:03,12-5,2,17,2021,719,21.9,372,40,347,111,214,22,92-223,41.26,17-32,53.13,416-625,4109,7.2,241.7,17,19,50-367,443,1754,4.0,103.2,18,1118,6230,366.5,30-646,21.5,9-60,11.3,18-181,10.1,42.6,"62-2,858",30-34,52,88-688,40.471,31:25,20-6,280,17
720,Offense--lar-2022,18.1,307,32,293,89,181,23,83-211,39.34,15-19,78.95,347-531,3108,6.6,182.8,16,15,59-398,411,1661,4.0,97.7,15,1001,5167,303.9,33-663,20.1,25-183,10.3,16-240,15.0,41.9,"71-3,434",28-30,78,76-655,38,29:48,16-8,-1,17,2022,721,22.6,384,39,331,106,203,22,84-208,40.39,13-20,65.00,375-556,3842,7.4,226.0,23,16,38-250,455,1956,4.3,115.1,12,1049,6048,355.8,15-345,23.0,36-372,7.3,15-243,16.2,44.5,"59-2,810",36-40,61,82-691,40.647,30:30,15-6,285,17
722,Offense--mia-2004,17.2,275,31,267,71,165,31,80-232,34.48,8-16,50.00,309-586,3065,5.8,191.6,19,26,52-326,384,1339,3.5,83.7,10,1022,4730,295.6,"51-1,114",21.8,52-564,5.7,15-92,6.1,38.9,"99-4,107",19-23,18,112-852,53,28:19,39-13,0,16,2004,723,16.9,354,42,281,107,139,35,72-223,32.29,8-11,72.73,244-434,2592,6.5,162.0,20,15,36-223,539,2302,4.3,143.9,12,1009,5117,319.8,"70-1,660",23.7,45-258,10.8,26-464,17.8,35.4,"102-4,177",20-28,4,107-852,53.25,31:40,22-8,0,16
724,Offense--mia-2005,21.2,318,34,274,93,159,22,79-225,35.11,6-15,40.00,291-556,3300,6.2,206.3,22,16,26-158,444,1898,4.3,118.6,11,1026,5356,334.8,"56-1,425",25.4,43-390,4.9,14-136,9.7,40.5,"89-3,835",25-30,22,"132-1,055",65,27:24,29-12,0,16,2005,725,14.0,295,33,319,94,183,42,95-236,40.25,8-19,42.11,323-549,3307,6.7,206.7,23,14,49-375,480,1771,3.7,110.7,11,1078,5453,340.8,"68-1,501",22.1,46-227,9.1,16-127,7.9,38.8,"92-3,957",24-24,4,105-827,51.688,32:35,33-12,0,16
726,Offense--mia-2006,17.3,260,26,281,82,180,19,88-234,37.61,7-14,50.00,342-591,3287,6.1,205.4,16,19,41-290,402,1673,4.2,104.6,7,1034,5250,328.1,40-981,24.5,41-378,7.5,8-116,14.5,38.5,"85-3,640",26-36,36,90-789,49,30:01,19-5,0,16,2006,727,13.1,262,28,267,72,166,29,89-234,38.03,9-16,56.25,279-497,3007,6.6,187.9,22,8,47-268,461,1618,3.5,101.1,7,1005,4893,305.8,"52-1,102",21.2,49-367,9.2,19-207,10.9,37.4,"91-3,785",22-25,16,91-720,45,29:58,35-16,0,16
728,Offense--mia-2007,17.8,267,29,283,107,162,14,81-218,37.16,13-22,59.09,318-558,3031,5.9,189.4,12,16,42-288,389,1569,4.0,98.1,14,989,4888,305.5,"50-1,292",25.8,24-230,9.9,14-160,11.4,38.2,"77-3,327",21-23,12,91-732,45,29:27,24-11,0,16,2007,729,21.7,434,50,318,129,165,24,98-208,47.12,6-10,60.00,242-409,3019,7.8,188.7,28,14,30-167,544,2456,4.5,153.5,18,983,5642,352.6,"78-1,552",19.9,39-387,9.6,16-232,14.5,39.5,"62-2,682",28-33,11,73-604,37.75,31:18,19-6,0,16
730,Offense--mia-2008,21.6,345,40,308,111,184,13,71-192,36.98,10-15,66.67,330-491,3632,7.7,227.0,20,7,26-129,448,1897,4.2,118.6,18,965,5658,353.6,"68-1,655",24.3,28-285,13.1,18-214,11.9,37.4,"74-3,249",21-25,9,81-669,41,31:03,17-5,0,16,2008,731,15.9,317,33,296,96,173,27,79-209,37.80,11-19,57.90,320-551,3644,7.0,227.8,18,18,40-218,388,1620,4.2,101.3,11,979,5482,342.6,"60-1,213",20.2,37-485,10.2,7-130,18.6,42.7,"60-2,848",29-32,19,86-615,38.438,28:56,24-9,0,16
732,Offense--mia-2009,22.5,360,41,333,129,188,16,120-245,48.98,13-18,72.22,331-545,3170,6.2,198.1,15,19,34-226,509,2231,4.4,139.4,22,1088,5627,351.7,"71-1,557",21.9,33-237,8.6,15-164,10.9,41.4,"75-3,472",25-28,9,78-640,40,32:01,26-9,0,16,2009,733,18.6,390,42,297,88,184,25,69-198,34.85,8-15,53.33,281-489,3754,8.2,234.6,23,15,44-242,435,1835,4.2,114.7,16,968,5831,364.4,"75-1,739",23.2,43-369,7.2,19-261,13.7,40.5,"67-2,953",33-39,12,73-589,36.813,28:12,15-6,0,16
734,Offense--mia-2010,16.9,271,26,300,91,189,20,92-230,40.00,3-10,30.00,335-557,3527,6.7,220.4,17,21,38-228,445,1643,3.7,102.7,8,1040,5398,337.4,"53-1,303",24.6,28-293,10.6,11-66,6.0,39.9,"73-3,369",30-41,20,72-595,37,30:53,21-8,0,16,2010,735,15.9,333,36,264,84,166,14,84-226,37.17,8-22,36.36,288-502,3348,7.1,209.3,22,11,39-225,447,1601,3.6,100.1,8,988,5174,323.4,"56-1,199",21.4,43-454,10.5,21-201,9.6,38.5,"77-3,255",27-31,27,85-730,45.625,29:28,21-7,0,16
736,Offense--mia-2011,20.6,329,33,287,89,166,32,69-207,33.33,6-16,37.50,280-469,3091,7.3,193.2,20,13,52-334,469,1987,4.2,124.2,11,990,5412,338.3,41-937,22.9,46-526,9.9,16-256,16.0,42.9,"78-3,810",33-39,49,85-779,48,30:37,28-12,0,16,2011,737,15.7,313,33,310,88,198,24,74-219,33.79,7-14,50.00,350-590,3992,7.2,249.5,24,16,41-241,412,1530,3.7,95.6,8,1043,5763,360.2,39-942,24.2,47-463,11.4,13-224,17.2,40.7,"93-4,313",26-33,39,112-975,60.938,29:51,16-1,0,16
738,Offense--mia-2012,18.0,288,31,288,93,158,37,78-207,37.68,5-15,33.33,293-504,3182,6.8,198.9,13,13,37-243,440,1802,4.1,112.6,15,981,5227,326.7,35-868,24.8,31-346,11.3,10-99,9.9,43.4,"76-3,779",23-30,48,82-724,45,28:59,25-11,0,16,2012,739,15.1,317,32,320,79,215,26,87-238,36.56,12-17,70.59,353-600,3974,7.0,248.4,18,10,42-242,431,1734,4.0,108.4,10,1073,5950,371.9,"40-1,082",27.1,43-484,11.2,13-198,15.2,40.3,"85-3,815",31-40,45,"121-1,045",65.313,31:58,21-5,0,16
740,Offense--mia-2013,19.8,317,34,278,61,205,12,76-217,35.02,3-12,25.00,357-594,3567,6.7,222.9,24,19,58-399,349,1440,4.1,90.0,8,1001,5406,337.9,36-826,22.9,34-264,9.7,18-204,11.3,44.0,"85-4,150",26-34,51,70-598,37,28:42,15-7,0,16,2013,741,16.8,335,33,327,114,192,21,91-238,38.24,8-15,53.33,344-580,3752,6.9,234.5,17,18,42-272,484,1998,4.1,124.9,14,1106,6022,376.4,42-893,21.3,42-407,7.8,19-165,8.7,40.3,"77-3,406",34-40,48,95-748,46.75,31:49,14-5,0,16
742,Offense--mia-2014,24.0,384,42,361,99,226,36,80-200,40.00,7-19,36.84,394-595,3729,6.8,233.1,27,12,46-337,399,1872,4.7,117.0,12,1040,5938,371.1,"46-1,237",26.9,25-204,9.7,14-299,21.4,39.6,"58-2,688",29-37,44,81-635,39,30:07,25-11,2,16,2014,743,17.8,373,42,309,99,194,16,98-223,43.95,13-22,59.09,338-537,3557,7.0,222.3,27,14,39-211,453,1937,4.3,121.1,13,1029,5705,356.6,"41-1,082",26.4,36-349,8.2,12-252,21.0,39.2,"58-2,593",26-34,47,105-920,57.5,29:52,18-9,-2,16
744,Offense--mia-2015,19.4,310,39,291,72,194,25,63-205,30.73,8-22,36.36,365-588,3811,7.2,238.2,24,12,45-420,344,1496,4.3,93.5,11,977,5727,357.9,23-508,22.1,41-424,10.5,13-184,14.2,41.9,"92-4,380",13-16,61,"134-1,090",68,27:22,17-7,-3,16,2015,745,19.3,385,46,351,112,203,36,96-221,43.44,4-12,33.33,350-542,4000,7.8,250.0,31,13,31-225,502,2019,4.0,126.2,13,1075,6244,390.3,43-958,22.3,50-526,10.3,12-176,14.7,40.2,"76-3,520",21-29,45,"121-1,005",62.813,32:37,11-3,3,16
746,Offense--mia-2016,22.7,363,45,278,90,167,21,69-188,36.70,0-4,0.00,316-477,3500,7.8,218.8,27,15,30-216,405,1824,4.5,114.0,14,912,5540,346.3,31-632,20.4,36-328,8.1,16-186,11.6,41.0,"90-3,991",16-21,58,"125-1,141",71,28:59,25-8,2,16,2016,747,19.0,380,43,349,109,199,41,77-213,36.15,9-16,56.25,368-591,3875,6.9,242.2,30,16,33-226,464,2247,4.8,140.4,12,1088,6348,396.8,35-879,25.1,37-300,9.1,15-104,6.9,37.4,"73-3,095",26-35,56,109-919,57.438,32:18,23-9,-2,16
748,Offense--mia-2017,17.4,279,31,284,66,187,31,64-202,31.68,7-24,29.17,373-602,3535,6.3,220.9,24,21,33-257,360,1388,3.9,86.8,4,995,5180,323.8,34-665,19.6,37-271,6.3,9-99,11.0,41.9,"83-3,695",21-23,42,"137-1,154",72,29:24,21-8,-14,16,2017,749,19.7,393,45,319,88,190,41,75-203,36.95,2-8,25.00,339-528,3603,7.2,225.2,26,9,30-185,431,1768,4.1,110.5,14,989,5556,347.3,40-834,20.9,35-220,7.3,21-375,17.9,42.2,"75-3,477",27-35,52,"122-1,077",67.313,30:35,15-5,14,16
750,Offense--mia-2018,19.9,319,38,252,75,153,24,56-186,30.11,8-13,61.54,292-455,2900,7.3,181.3,26,13,52-409,371,1738,4.7,108.6,7,878,5047,315.4,13-339,26.1,28-293,10.4,21-321,15.3,39.8,"87-3,884",18-20,79,108-978,61,28:06,16-10,5,16,2018,751,20.6,433,52,350,116,195,39,84-196,42.86,6-15,40.00,335-508,3932,8.2,245.8,31,21,31-209,485,2325,4.8,145.3,17,1024,6466,404.1,39-938,24.1,37-384,10.5,13-188,14.5,37.0,"54-2,326",24-32,55,107-856,53.5,32:31,17-5,-5,16
752,Offense--mia-2019,19.0,304,34,315,64,210,41,71-207,34.30,13-28,46.43,371-615,3804,6.7,237.8,22,18,58-313,349,1156,3.3,72.3,10,1022,5273,329.6,20-540,27.0,27-177,7.9,13-190,14.6,41.7,"69-3,105",23-30,67,92-769,48,28:55,22-8,-10,16,2019,753,30.9,494,57,361,113,214,34,81-194,41.75,8-13,61.54,344-545,4198,8.0,262.4,39,13,23-155,485,2166,4.5,135.4,15,1053,6519,407.4,36-796,22.1,29-229,6.6,18-169,9.4,41.6,"57-2,546",31-38,62,"111-1,084",67.75,31:42,14-2,10,16
754,Offense--mia-2020,25.3,404,42,345,100,207,38,78-202,38.61,8-10,80.00,370-559,3736,7.0,233.5,24,13,34-201,428,1688,3.9,105.5,15,1021,5625,351.6,24-376,15.7,32-354,12.4,18-146,8.1,40.3,"68-3,040",36-39,70,74-635,39,31:16,14-7,9,16,2020,755,21.1,338,41,336,113,193,30,58-186,31.18,12-26,46.15,343-545,4024,8.0,251.5,21,18,41-349,412,1862,4.5,116.4,17,998,6235,389.7,12-215,17.9,24-297,11.1,13-115,8.8,40.6,"65-3,036",17-23,82,85-805,50.313,28:43,20-11,-9,16
756,Offense--mia-2021,20.1,341,39,325,87,206,32,95-233,40.77,12-22,54.55,404-615,3651,6.4,214.8,21,14,40-285,442,1568,3.5,92.2,12,1097,5504,323.8,19-330,17.4,29-190,8.7,14-175,12.5,41.4,"78-3,489",23-31,71,105-825,48,30:30,29-12,0,17,2021,757,21.9,373,40,337,106,199,32,95-231,41.13,11-18,61.11,373-608,3871,7.0,227.7,23,14,48-380,425,1867,4.4,109.8,16,1081,6118,359.9,21-435,20.7,30-262,6.6,14-151,10.8,41.6,"74-3,308",31-37,77,109-991,58.294,30:04,20-12,278,17
